n,n_start_time,n_end_time,Omega,ToA,AoA
-1.0,0.0,0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.026957140355851235,0.08970373839752528,100.13587195606239,0.029746324270836684,0.27929736337289174
0.0,0.026957140355851235,0.08970373839752528,100.13587195606239,0.042335959826765,1.5399714973748202
0.0,0.026957140355851235,0.08970373839752528,100.13587195606239,0.054790029012313016,2.787070574670798
0.0,0.026957140355851235,0.08970373839752528,100.13587195606239,0.06735859776317925,4.045635165778506
0.0,0.026957140355851235,0.08970373839752528,100.13587195606239,0.07993797979939689,5.305282554643587
1.0,0.08970373839752528,0.1522466686603348,100.46195918191277,0.09248662808520214,0.27957455021115835
1.0,0.08970373839752528,0.1522466686603348,100.46195918191277,0.10505895452861981,1.542615096191467
1.0,0.08970373839752528,0.1522466686603348,100.46195918191277,0.11748871958626213,2.7913336460530953
